"","gsis_id","full_name"
"296","00-0030024","Jeff Tuel"
"297","00-0030039","Kendall Gaskins"
"298","00-0030043","Da'Rick Rogers"
"299","00-0030095","Corey Fuller"
"300","00-0030110","Michael Williams"
"301","00-0030116","Kevin Dorsey"
"302","00-0030120","B.J. Daniels"
"303","00-0030129","Justice Cunningham"
"304","00-0030147","Russell Shepard"
"305","00-0030151","Tyler Bray"
"306","00-0030154","Frankie Hammond"
"307","00-0030162","Rico Richardson"
"308","00-0030175","Ryan Spadola"
"309","00-0030187","Rashad Ross"
"310","00-0030233","Ray Graham"
"311","00-0030236","Dennis Johnson"
"312","00-0030247","George Winn"
"313","00-0030248","Cierre Wood"
"314","00-0030272","Jake Stoneburner"
"315","00-0030274","Myles White"
"316","00-0030300","Jaron Brown"
"317","00-0030320","Michael Hill"
"318","00-0030348","Khiry Robinson"
"319","00-0030370","Greg Jenkins"
"320","00-0030400","Marlon Brown"
"321","00-0030419","Matthew McGloin"
"322","00-0030466","Justin Brown"
"323","00-0030569","Sean Renfree"
"324","00-0030586","Ryan Nassib"
"325","00-0030647","Jordan Thompson"
"326","00-0030653","Ray Agnew"
"327","00-0030656","Isaiah Crowell"
"328","00-0030659","Jonathan Krause"
"329","00-0030661","Connor Shaw"
"330","00-0030668","Charcandrick West"
"331","00-0030670","Bennie Fowler"
"332","00-0030671","Isaiah Burse"
"333","00-0030691","Jeremy Butler"
"334","00-0030705","Juwan Thompson"
"335","00-0030711","David Fluellen"
"336","00-0030737","Freddie Martino"
"337","00-0030741","Roosevelt Nix"
"338","00-0030743","Bernard Reedy"
"339","00-0030758","Justin Perillo"
"340","00-0030780","Ryan Hewitt"
"341","00-0030789","Antonio Andrews"
"342","00-0030801","Brandon Coleman"
"343","00-0030805","Je'Ron Hamm"
"344","00-0030806","Nic Jacobs"
"345","00-0030807","Seantavius Jones"
"346","00-0030821","Allen Hurns"
"347","00-0030822","Marcel Jensen"
"348","00-0030828","D.J. Tialavea"
"349","00-0030832","Asante Cleveland"
"350","00-0030839","Solomon Patton"
"351","00-0030854","Erik Swoope"
"352","00-0030855","Zurlon Tipton"
"353","00-0030856","Tony Washington"
"354","00-0030860","Orleans Darkwa"
"355","00-0030865","Gator Hoskins"
"356","00-0030897","Corey Washington"
"357","00-0030920","Javontee Herndon"
"358","00-0030968","Keith Smith"
"359","00-0030985","Trey Watts"
"360","00-0031008","Silas Redd"
"361","00-0031035","Xavier Grimble"
"362","00-0031102","Kapri Bibbs"
"363","00-0031118","Corey Brown"
"364","00-0031123","Darrin Reaves"
"365","00-0031158","George Atkinson"
"366","00-0031166","Seth Roberts"
"367","00-0031167","Scott Simonson"
"368","00-0031209","Senorise Perry"
"369","00-0031228","Taylor Gabriel"
"370","00-0031268","Walt Powell"
"371","00-0031277","Branden Oliver"
"372","00-0031320","Kevin Smith"
"373","00-0031327","Kevin Norwood"
"374","00-0031332","Fitzgerald Toussaint"
"375","00-0031450","Josh Harris"
"376","00-0031459","Glenn Winston"
"377","00-0031462","Jerome Cunningham"
"378","00-0031493","Jarryd Hayne"
"379","00-0031511","DeAndrew White"
"380","00-0031514","Quan Bray"
"381","00-0031526","Tyler Varga"
"382","00-0031531","Trey Williams"
"383","00-0031533","Randall Telfer"
"384","00-0031665","Zach Zenner"
"385","00-0031682","Terron Ward"
"386","00-0031684","Shane Wynn"
"387","00-0031697","Jordan Taylor"
"388","00-0031706","Paul Lasike"
"389","00-0031731","Corey Grant"
"390","00-0031732","Connor Hamlett"
"391","00-0031743","Akeem Hunt"
"392","00-0031744","Matt LaCosse"
"393","00-0031746","George Farmer"
"394","00-0031757","Lucky Whitehead"
"395","00-0031768","Terrence Magee"
"396","00-0031782","Eli Rogers"
"397","00-0031788","Matt Lengel"
"398","00-0031793","Terrell Watson"
"399","00-0031801","Jordan Leslie"
"400","00-0031816","Tyler Murphy"
"401","00-0031818","Bradley Marquez"
"402","00-0031826","John Crockett"
"403","00-0031830","Alonzo Harris"
"404","00-0031834","Larry Pinkard"
"405","00-0031854","Chris Harper"
"406","00-0031884","Gabe Holmes"
"407","00-0031897","Thomas Rawls"
"408","00-0031900","Rodney Smith"
"409","00-0031912","Cameron Meredith"
"410","00-0031922","Khari Lee"
"411","00-0031932","Chandler Worthy"
"412","00-0031968","E.J. Bibbs"
"413","00-0031972","Darius Jennings"
"414","00-0032001","Ben Edwards"
"415","00-0032004","Will Tye"
"416","00-0032008","Donteea Dye"
"417","00-0032012","Isaac Fruechte"
"418","00-0032045","Andrew Turzilli"
"419","00-0032048","Mack Brown"
"420","00-0032070","Dezmin Lewis"
"421","00-0032089","Brian Parker"
"422","00-0032122","Joey Iosefa"
"423","00-0032190","Gerald Christian"
"424","00-0032250","Kasen Williams"
"425","00-0032298","Bronson Hill"
"426","00-0032319","Ross Travis"
"427","00-0032362","Maurice Harris"
"428","00-0032365","Demarcus Ayers"
"429","00-0032371","Rob Kelley"
"430","00-0032375","Joe Kerridge"
"431","00-0032377","Josh Ferguson"
"432","00-0032400","Malcolm Mitchell"
"433","00-0032462","Trevone Boykin"
"434","00-0032472","Tre Madden"
"435","00-0032475","Tanner McEvoy"
"436","00-0032482","Bralon Addison"
"437","00-0032508","Hakeem Valles"
"438","00-0032515","Braedon Bowman"
"439","00-0032523","Henry Krieger-Coble"
"440","00-0032540","Tra Carson"
"441","00-0032562","Cole Wick"
"442","00-0032577","D.J. Foster"
"443","00-0032593","Brandon Wilds"
"444","00-0032599","Joshua Perkins"
"445","00-0032626","Geronimo Allison"
"446","00-0032630","Joe Callahan"
"447","00-0032634","David Grinnage"
"448","00-0032636","Don Jackson"
"449","00-0032650","Ryan Malleck"
"450","00-0032656","Darius Powe"
"451","00-0032659","Roger Lewis"
"452","00-0032661","Ben Braunecker"
"453","00-0032679","Paul McRoberts"
"454","00-0032694","Jalin Marshall"
"455","00-0032705","Ed Eagan"
"456","00-0032707","Andy Jones"
"457","00-0032724","Bryce Treggs"
"458","00-0032728","Tevin Jones"
"459","00-0032739","Wendall Williams"
"460","00-0032740","Lawrence Thomas"
"461","00-0032745","Alan Cross"
"462","00-0032794","Dan Vitale"
"463","00-0032801","Daniel Braverman"
"464","00-0032839","Hunter Sharp"
"465","00-0032841","Paul Turner"
