"","gsis_id","full_name"
"232","00-0013011","Julian Pittman"
"233","00-0010479","Wayne Martin"
"234","00-0004928","Justin Ernest"
"235","00-0003610","Aaron Craver"
"236","00-0003093","Willie Clay"
"237","00-0014529","Steve Scifres"
"238","00-0007937","Robert Hunt"
"239","00-0000134","Ink Aleaga"
"240","00-0015336","Vinson Smith"
"241","00-0009925","Marc Lillibridge"
"242","00-0012832","Wilmont Perry"
"243","00-0012946","Dino Philyaw"
"244","00-0013173","Marvin Powell"
"245","00-0004060","Troy Davis"
"246","00-0018615","Bryan LaBelle"
"247","00-0017662","Josh Wilcox"
"248","00-0015053","Scott Slutzker"
"249","00-0008637","Tony Johnson"
"250","00-0005073","John Farquhar"
"251","00-0000969","Brett Bech"
"252","00-0004079","Lawrence Dawsey"
"253","00-0005355","Malcolm Floyd"
"254","00-0017735","Brian Williams"
"255","00-0015877","Kelvin Suggs"
"256","00-0014315","Brandon Sanders"
"257","00-0006991","Robert Harris"
"258","00-0017337","Charles Way"
"259","00-0017630","Corey Widmer"
"260","00-0013243","Raymond Priester"
"261","00-0008570","LeShon Johnson"
"262","00-0001938","Gary Brown"
"263","00-0016296","Mark Thomas"
"264","00-0000172","Brian Alford"
"265","00-0012415","Chris Ortiz"
"266","00-0006009","Mike Gisler"
"267","00-0009748","Del Lee"
"268","00-0014397","Corey Sawyer"
"269","00-0003718","Buddy Crutchfield"
"270","00-0000500","Steve Atwater"
"271","00-0015999","J.J. Syvrud"
"272","00-0002784","Chad Cascadden"
"273","00-0003825","Casey Dailey"
"274","00-0005071","Robert Farmer"
"275","00-0010293","Siupeli Malamala"
"276","00-0006324","Eric Green"
"277","00-0004705","Quinn Early"
"278","00-0013444","Marcus Ray"
"279","00-0006953","James Harris"
"280","00-0011353","Charles Mincy"
"281","00-0016710","Eric Turner"
"282","00-0018073","Wade Wilson"
"283","00-0012056","Anthony Newman"
"284","00-0009398","Tim Kohn"
"285","00-0017027","Derrick Walker"
"286","00-0017922","Rodney A. Williams"
"287","00-0003467","Horace Copeland"
"288","00-0008709","Chris T. Jones"
"289","00-0006965","Kenny Harris"
"290","00-0017492","Mark Wheeler"
"291","00-0017723","Ben Williams"
"292","00-0008435","Bill Johnson"
"293","00-0016723","Kevin Turner"
"294","00-0004168","Jeff Dellenbach"
"295","00-0008593","Norm Johnson"
"296","00-0001233","Eric Bieniemy"
"297","00-0017301","Edwin Watson"
"298","00-0001525","James Bostic"
"299","00-0012512","Lonnie Palelei"
"300","00-0011177","John Michels"
"301","00-0000466","Jamie Asher"
"302","00-0009814","Ron Leshinski"
"303","00-0015331","Troy Smith"
"304","00-0008329","Dietrich Jells"
"305","00-0015962","Jim Sweeney"
"306","00-0010116","Reggie Lowe"
"307","00-0001933","Ernie Brown"
"308","00-0004059","Travis Davis"
"309","00-0015603","Joel Steed"
"310","00-0006100","Pete Gonzalez"
"311","00-0015843","Justin Strzelczyk"
"312","00-0001875","Anthony Brown"
"313","00-0001268","Harold Bishop"
"314","00-0010202","Mitch Lyons"
"315","00-0003128","Tony Cline"
"316","00-0016205","Ryan Thelwell"
"317","00-0004318","Charles Dimry"
"318","00-0001030","Jimmie Bell"
"319","00-0011350","Chris Mims"
"320","00-0006818","Cedric Harden"
"321","00-0008001","Israel Ifeanyichukwu"
