"","yearly_id","position"
"270","1999_00-0007213","TE"
"271","1999_00-0007254","FB"
"272","1999_00-0007357","RB"
"273","1999_00-0007389","RB"
"274","1999_00-0007436","RB"
"275","1999_00-0007447","RB"
"276","1999_00-0007468","WR"
"277","1999_00-0007520","RB"
"278","1999_00-0007530","QB"
"279","1999_00-0007546","RB"
"280","1999_00-0007576","QB"
"281","1999_00-0007579","FB"
"282","1999_00-0007647","RB"
"283","1999_00-0007661","RB"
"284","1999_00-0007681","WR"
"285","1999_00-0007744","WR"
"286","1999_00-0007749","WR"
"287","1999_00-0007795","RB"
"288","1999_00-0007798","WR"
"289","1999_00-0007832","QB"
"290","1999_00-0007834","QB"
"291","1999_00-0007835","QB"
"292","1999_00-0007924","WR"
"293","1999_00-0007969","RB"
"294","1999_00-0008044","WR"
"295","1999_00-0008046","RB"
"296","1999_00-0008059","WR"
"297","1999_00-0008060","WR"
"298","1999_00-0008156","WR"
"299","1999_00-0008190","TE"
"300","1999_00-0008196","RB"
"301","1999_00-0008203","RB"
"302","1999_00-0008210","WR"
"303","1999_00-0008224","TE"
"304","1999_00-0008229","WR"
"305","1999_00-0008241","RB"
"306","1999_00-0008300","WR"
"307","1999_00-0008313","WR"
"308","1999_00-0008329","WR"
"309","1999_00-0008346","TE"
"310","1999_00-0008357","WR"
"311","1999_00-0008360","WR"
"312","1999_00-0008391","RB"
"313","1999_00-0008400","WR"
"314","1999_00-0008430","RB"
"315","1999_00-0008442","QB"
"316","1999_00-0008454","WR"
"317","1999_00-0008488","RB"
"318","1999_00-0008529","RB"
"319","1999_00-0008560","WR"
"320","1999_00-0008561","WR"
"321","1999_00-0008568","RB"
"322","1999_00-0008570","RB"
"323","1999_00-0008572","TE"
"324","1999_00-0008575","WR"
"325","1999_00-0008598","WR"
"326","1999_00-0008612","QB"
"327","1999_00-0008637","TE"
"328","1999_00-0008660","RB"
"329","1999_00-0008704","WR"
"330","1999_00-0008709","WR"
"331","1999_00-0008723","TE"
"332","1999_00-0008749","TE"
"333","1999_00-0008751","RB"
"334","1999_00-0008763","WR"
"335","1999_00-0008903","TE"
"336","1999_00-0008907","WR"
"337","1999_00-0008921","RB"
"338","1999_00-0008961","TE"
"339","1999_00-0008962","WR"
"340","1999_00-0008970","QB"
"341","1999_00-0009007","QB"
"342","1999_00-0009038","RB"
"343","1999_00-0009119","TE"
"344","1999_00-0009163","WR"
"345","1999_00-0009165","WR"
"346","1999_00-0009237","TE"
"347","1999_00-0009266","QB"
"348","1999_00-0009288","RB"
"349","1999_00-0009311","QB"
"350","1999_00-0009323","FB"
