season,minPick,maxPick,draftsSelectedIn,id,averagePick,rank,draftSelPct
2022,133,681,94,15782,271.73,319,13
2022,95,601,83,14592,272.11,320,11
2022,123,569,103,15297,272.38,321,14
2022,144,635,128,13652,272.45,322,17
2022,142,675,95,14875,272.91,323,13
2022,163,577,101,14992,273.56,324,14
2022,154,499,83,14848,274.19,325,11
2022,145,492,90,14341,275.09,326,12
2022,176,705,75,13880,275.13,327,10
2022,156,699,109,15725,276.68,328,15
2022,123,698,93,15713,277.63,329,13
2022,109,569,76,15798,279.25,330,10
2022,110,702,88,13188,279.95,331,12
2022,190,574,91,15901,280.66,332,12
2022,176,577,88,14337,284.12,333,12
2022,133,561,78,15728,284.32,334,10
2022,191,609,87,14239,288.87,335,12
2022,161,567,73,14860,290.74,336,10
2022,138,580,90,15332,294.93,337,12
