,yearly_id,full_name,position,lw,lw_June_01,difference,lw_edit,ZR_Rankings_Manual,ZR_manual_boost
806,2022_00-0024243,Marcedes Lewis,TE,0,0,0,0,,
807,2022_00-0030216,Josh Hill,TE,0,0,0,0,,
809,2022_00-0028042,Luke Stocker,TE,0,0,0,0,,
810,2022_00-0030443,Levine Toilolo,TE,0,0,0,0,,
811,2022_00-0033555,Mack Hollins,WR,0,0,0,0,,
812,2022_00-0030470,Vance McDonald,TE,0,0,0,0,,
813,2022_00-0036142,Isaiah Wright,NA,0,0,0,0,,
814,2022_00-0033387,Jacob Hollister,TE,0,0,0,0,,
816,2022_00-0032135,Jesse James,TE,0,0,0,0,,
817,2022_00-0030513,Latavius Murray,RB,0,0,0,0,,
818,2022_00-0033094,Marvin Hall,WR,0,0,0,0,,
819,2022_00-0032986,J.P. Holtz,TE,0,0,0,0,,
820,2022_00-0032141,Geoff Swaim,TE,0,0,0,0,,
821,2022_00-0032062,Blake Bell,TE,0,0,0,0,,
822,2022_00-0028149,Bruce Miller,NA,0,0,0,0,,
823,2022_00-0033095,Garrett Griffin,TE,0,0,0,0,,
824,2022_00-0031951,James O'Shaughnessy,TE,0,0,0,0,,
825,2022_00-0031384,Richard Rodgers,TE,0,0,0,0,,
826,2022_00-0030155,Demetrius Harris,TE,0,0,0,0,,
827,2022_00-0029738,Darren Fells,TE,0,0,0,0,,
828,2022_00-0030108,Ryan Griffin,TE,0,0,0,0,,
4,2022_00-0019596,Tom Brady,QB,88.2,88.6,0.4,,,
7,2022_00-0029604,Kirk Cousins,QB,86.2,83.9,-2.3,,,
10,2022_00-0033077,Dak Prescott,QB,76,76,0,,,
13,2022_00-0036442,Joe Burrow,QB,67.5,60.1,-7.4,,,
23,2022_00-0023459,Aaron Rodgers,QB,58.3,58.7,0.4,,,
16,2022_00-0029701,Ryan Tannehill,QB,65.7,50.7,-15,,,
31,2022_00-0026498,Matthew Stafford,QB,45.4,48.8,3.4,,,
37,2022_00-0036212,Tua Tagovailoa,QB,39.7,43.5,3.8,,,
36,2022_00-0037012,Trey Lance,QB,41.7,39.5,-2.2,,,
41,2022_00-0029263,Russell Wilson,QB,37.5,37.5,0,,,
45,2022_00-0033537,Deshaun Watson,QB,36,35.3,-0.7,,,
50,2022_00-0036971,Trevor Lawrence,QB,33.4,33.4,0,,,
53,2022_00-0036972,Mac Jones,QB,31.7,28.6,-3.1,,,
39,2022_00-0036945,Justin Fields,QB,38.6,27.1,-11.5,,,
49,2022_00-0026143,Matt Ryan,QB,33.9,26.6,-7.3,,,
69,2022_00-0031280,Derek Carr,QB,19.1,18.1,-1,,,
68,2022_00-0035710,Daniel Jones,QB,19.5,16.1,-3.4,,,
67,2022_00-0032950,Carson Wentz,QB,20.2,14.9,-5.3,,,
90,2022_00-0033106,Jared Goff,QB,11.2,14.4,3.2,,,
93,2022_00-0036898,Davis Mills,QB,10.4,13.1,2.7,,,
81,2022_00-0031503,Jameis Winston,QB,14.2,10.4,-3.8,,,
80,2022_00-0033357,Taysom Hill,QB,14.5,8.7,-5.8,,,
102,2022_00-0037013,Zach Wilson,QB,8.8,7.9,-0.9,,,
130,2022_Kenny Pickett,Kenny Pickett,QB,4.9,7.1,2.2,,,
120,2022_00-0022924,Ben Roethlisberger,QB,5.7,5.7,0,,,
124,2022_00-0034855,Baker Mayfield,QB,5.2,5.2,0,,,
152,2022_00-0031345,Jimmy Garoppolo,QB,3.4,3.4,0,,,
189,2022_00-0032268,Marcus Mariota,QB,1.8,2.9,1.1,,,
167,2022_00-0034401,Mike White,QB,2.3,2.3,0,,,
172,2022_00-0023682,Ryan Fitzpatrick,QB,2,2,0,,,
174,2022_Malik Willis,Malik Willis,QB,1.9,1.9,0,,,
175,2022_Desmond Ridder,Desmond Ridder,QB,1.9,1.9,0,,,
176,2022_Matt Corral,Matt Corral,QB,1.9,1.9,0,,,
177,2022_Sam Howell,Sam Howell,QB,1.9,1.9,0,,,
178,2022_Bailey Zappe,Bailey Zappe,QB,1.9,1.9,0,,,
179,2022_Chris Oladokun,Chris Oladokun,QB,1.9,1.9,0,,,
180,2022_Skylar Thompson,Skylar Thompson,QB,1.9,1.9,0,,,
181,2022_Brock Purdy,Brock Purdy,QB,1.9,1.9,0,,,
184,2022_00-0031237,Teddy Bridgewater,QB,1.9,1.9,0,,,
187,2022_00-0031800,Taylor Heinicke,QB,1.8,1.8,0,,,
191,2022_00-0027939,Cam Newton,QB,1.7,1.7,0,,,
196,2022_00-0035993,Tyler Huntley,QB,1.5,1.5,0,,,
193,2022_00-0033869,Mitch Trubisky,QB,1.6,1.4,-0.2,,,
219,2022_00-0034771,Mason Rudolph,QB,1.1,1.1,0,,,
222,2022_00-0036264,Jordan Love,QB,1.1,1,-0.1,,,
223,2022_00-0036825,Feleipe Franks,QB,1,1,0,,,
224,2022_00-0036946,Kellen Mond,QB,1,1,0,,,
233,2022_00-0028118,Tyrod Taylor,QB,0.9,0.9,0,,,
235,2022_00-0034438,Logan Woodside,QB,0.9,0.9,0,,,
236,2022_00-0035289,Gardner Minshew,QB,0.9,0.9,0,,,
237,2022_00-0030565,Geno Smith,QB,0.9,0.9,0,,,
243,2022_00-0026625,Brian Hoyer,QB,0.9,0.9,0,,,
244,2022_00-0034869,Sam Darnold,QB,0.9,0.9,0,,,
246,2022_00-0020531,Drew Brees,QB,0.9,0.9,0,,,
247,2022_00-0033275,P.J. Walker,QB,0.8,0.8,0,,,
248,2022_00-0035704,Drew Lock,QB,0.8,0.8,0,,,
254,2022_00-0032156,Trevor Siemian,QB,0.8,0.8,0,,,
255,2022_00-0022787,Matt Schaub,QB,0.8,0.8,0,,,
260,2022_00-0027688,Colt McCoy,QB,0.7,0.7,0,,,
262,2022_00-0032245,Sean Mannion,QB,0.7,0.7,0,,,
263,2022_00-0029665,Robert Griffin,QB,0.7,0.7,0,,,
265,2022_00-0036929,Ian Book,QB,0.7,0.7,0,,,
267,2022_00-0033662,Cooper Rush,QB,0.7,0.7,0,,,
307,2022_00-0032792,Nate Sudfeld,QB,0.5,0.7,0.2,,,
270,2022_00-0023436,Alex Smith,QB,0.6,0.6,0,,,
271,2022_00-0027948,Blaine Gabbert,QB,0.6,0.6,0,,,
273,2022_00-0034343,Josh Rosen,QB,0.6,0.6,0,,,
274,2022_00-0036879,Sam Ehlinger,QB,0.6,0.6,0,,,
275,2022_00-0026158,Joe Flacco,QB,0.6,0.6,0,,,
276,2022_00-0036384,Ben DiNucci,QB,0.6,0.6,0,,,
277,2022_00-0034131,Kurt Benkert,QB,0.6,0.6,0,,,
278,2022_00-0022942,Philip Rivers,QB,0.6,0.6,0,,,
281,2022_00-0033949,Joshua Dobbs,QB,0.6,0.6,0,,,
284,2022_00-0034577,Kyle Allen,QB,0.6,0.6,0,,,
285,2022_00-0033958,Nathan Peterman,QB,0.6,0.6,0,,,
286,2022_00-0034899,John Wolford,QB,0.6,0.6,0,,,
287,2022_00-0033936,C.J. Beathard,QB,0.6,0.6,0,,,
289,2022_00-0036197,Jake Fromm,QB,0.6,0.6,0,,,
331,2022_00-0035232,Dwayne Haskins,QB,0.5,0.6,0.1,,,
339,2022_00-0032436,Jeff Driskel,QB,0.5,0.6,0.1,,,
303,2022_00-0036312,Jake Luton,QB,0.5,0.5,0,,,
308,2022_00-0028986,Case Keenum,QB,0.5,0.5,0,,,
311,2022_00-0026300,Josh Johnson,QB,0.5,0.5,0,,,
327,2022_00-0034177,Tim Boyle,QB,0.5,0.5,0,,,
328,2022_00-0035752,Chris Streveler,QB,0.5,0.5,0,,,
329,2022_00-0035264,Jarrett Stidham,QB,0.5,0.5,0,,,
334,2022_00-0035652,Ryan Finley,QB,0.5,0.5,0,,,
335,2022_00-0035282,Easton Stick,QB,0.5,0.5,0,,,
340,2022_00-0034955,Brett Rypien,QB,0.5,0.5,0,,,
341,2022_00-0035161,John Lovett,QB,0.5,0.5,0,,,
349,2022_00-0031288,AJ McCarron,QB,0.4,0.5,0.1,,,
355,2022_00-0035146,Trace McSorley,QB,0.4,0.5,0.1,,,
345,2022_00-0026197,Chad Henne,QB,0.4,0.4,0,,,
350,2022_00-0035040,David Blough,QB,0.4,0.4,0,,,
353,2022_00-0032434,Brandon Allen,QB,0.4,0.4,0,,,
359,2022_00-0027973,Andy Dalton,QB,0.4,0.4,0,,,
381,2022_00-0033550,Davis Webb,QB,0.4,0.4,0,,,
384,2022_00-0036226,Jacob Eason,QB,0.4,0.4,0,,,
326,2022_00-0029567,Nick Foles,QB,0.5,0.3,-0.2,,,
385,2022_00-0026544,Chase Daniel,QB,0.3,0.3,0,,,
402,2022_00-0030151,Tyler Bray,QB,0.3,0.3,0,,,
423,2022_00-0031395,Garrett Gilbert,QB,0.3,0.3,0,,,
447,2022_00-0030533,Matt Barkley,QB,0.2,0.3,0.1,,,
466,2022_00-0030520,Mike Glennon,QB,0.2,0.2,0,,,
507,2022_00-0033119,Jacoby Brissett,QB,0.2,0.2,0,,,
524,2022_00-0033319,Nick Mullens,QB,0.2,0.2,0,,,
