,yearly_id,full_name,position,lw,lw_June_01,difference,lw_edit,ZR_Rankings_Manual,ZR_manual_boost
199,2022_00-0028002,Randall Cobb,WR,1.5,1.5,0,1.5,,
202,2022_00-0034414,Boston Scott,RB,1.5,1.5,0,1.5,,
203,2022_00-0034440,Justin Jackson,RB,1.4,1.4,0,1.4,,
208,2022_00-0036219,Marquez Callaway,WR,1.4,1.4,0,1.4,,
264,2022_00-0034830,Hayden Hurst,TE,0.7,1.4,0.7,1.4,,
209,2022_00-0033110,Tyler Higbee,TE,1.3,1.3,0,1.3,,
210,2022_00-0027685,Emmanuel Sanders,WR,1.3,1.3,0,1.3,,
211,2022_00-0031941,Jamison Crowder,WR,1.3,1.3,0,1.3,,
218,2022_John Metchie,John Metchie,WR,1.2,1.3,0.1,1.3,,
182,2022_00-0035140,Mecole Hardman,WR,1.9,1.2,-0.7,1.2,,
214,2022_00-0034845,Sony Michel,RB,1.2,1.2,0,1.2,,
216,2022_00-0033594,Chris Carson,RB,1.2,1.2,0,1.2,,
217,2022_00-0031062,James White,RB,1.2,1.2,0,1.2,,
225,2022_00-0027966,Mark Ingram,RB,1,1.2,0.2,1.2,,
157,2022_00-0035644,Noah Fant,TE,2.7,1.1,-1.6,1.1,,
201,2022_00-0035537,Ty Johnson,RB,1.5,1.1,-0.4,1.1,,
206,2022_Zamir White,Zamir White,RB,1.4,1.1,-0.3,1.1,,
215,2022_Wan'Dale Robinson,Wan'Dale Robinson,WR,1.2,1.1,-0.1,1.1,,
221,2022_00-0034419,Braxton Berrios,WR,1.1,1.1,0,1.1,,
226,2022_00-0032187,David Johnson,RB,1,1.1,0.1,1.1,,
232,2022_00-0036268,Laviska Shenault,WR,1,1.1,0.1,1.1,,
200,2022_00-0036984,Trey Sermon,RB,1.5,1,-0.5,1,,
212,2022_00-0033282,Curtis Samuel,WR,1.2,1,-0.2,1,,
228,2022_Hassan Haskins,Hassan Haskins,RB,1,1,0,1,,
231,2022_Brian Robinson,Brian Robinson,RB,1,1,0,1,,
239,2022_00-0032385,Sterling Shepard,WR,0.9,1,0.1,1,,
245,2022_00-0036988,Joshua Palmer,WR,0.9,1,0.1,1,,
259,2022_00-0036955,Terrace Marshall,WR,0.8,1,0.2,1,,
227,2022_Keaontay Ingram,Keaontay Ingram,RB,1,0.9,-0.1,0.9,,
229,2022_Trey McBride,Trey McBride,TE,1,0.9,-0.1,0.9,,
234,2022_00-0036555,Chuba Hubbard,RB,0.9,0.9,0,0.9,,
240,2022_00-0035535,Darius Slayton,WR,0.9,0.9,0,0.9,,
241,2022_00-0036755,Jaret Patterson,RB,0.9,0.9,0,0.9,,
242,2022_00-0035639,Parris Campbell,WR,0.9,0.9,0,0.9,,
249,2022_00-0036412,KJ Hamler,WR,0.8,0.8,0,0.8,,
250,2022_00-0033307,Kendrick Bourne,WR,0.8,0.8,0,0.8,,
253,2022_00-0034297,Byron Pringle,WR,0.8,0.8,0,0.8,,
256,2022_00-0029000,Cole Beasley,WR,0.8,0.8,0,0.8,,
257,2022_00-0027793,Antonio Brown,WR,0.8,0.8,0,0.8,,
258,2022_00-0033951,Marlon Mack,RB,0.8,0.8,0,0.8,,
261,2022_00-0036450,Ke'Shawn Vaughn,RB,0.7,0.7,0,0.7,,
