"","yearly_id","position","fantasy_pos"
"20067","2021_00-0036422","TE","receiver"
"20068","2021_00-0032394","TE","receiver"
"20069","2021_00-0036540","TE","receiver"
"20070","2021_00-0036040","TE","receiver"
"20071","2021_00-0034672","TE","receiver"
"20072","2021_00-0033095","TE","receiver"
"20073","2021_00-0032765","WR","receiver"
"20074","2021_00-0035844","WR","receiver"
"20075","2021_00-0036080","WR","receiver"
"20076","2021_00-0032200","WR","receiver"
"20077","2021_00-0034765","WR","receiver"
"20078","2021_00-0035786","WR","receiver"
"20079","2021_00-0035215","WR","receiver"
"20080","2021_00-0031545","WR","receiver"
"20081","2021_00-0035406","WR","receiver"
"20082","2021_00-0030085","WR","receiver"
"20083","2021_00-0036219","WR","receiver"
"20084","2021_00-0036939","WR","receiver"
"20085","2021_00-0035304","FB","rusher"
"20086","2021_00-0035710","QB","passer"
"20087","2021_00-0036092","QB","passer"
"20088","2021_00-0036197","QB","passer"
"20089","2021_00-0033550","QB","passer"
"20090","2021_00-0030520","QB","passer"
"20091","2021_00-0035283","QB","passer"
"20092","2021_00-0032972","RB","rusher"
"20093","2021_00-0032813","RB","rusher"
"20094","2021_00-0036449","RB","rusher"
"20095","2021_00-0033373","RB","rusher"
"20096","2021_00-0036569","RB","rusher"
"20097","2021_00-0034844","RB","rusher"
"20098","2021_00-0036188","RB","rusher"
"20099","2021_00-0027981","TE","receiver"
"20100","2021_00-0033881","TE","receiver"
"20101","2021_00-0036746","TE","receiver"
"20102","2021_00-0034988","TE","receiver"
"20103","2021_00-0035345","TE","receiver"
"20104","2021_00-0035991","TE","receiver"
"20105","2021_00-0030443","TE","receiver"
"20106","2021_00-0036433","TE","receiver"
"20107","2021_00-0035813","WR","receiver"
"20108","2021_00-0036931","WR","receiver"
"20109","2021_00-0033111","WR","receiver"
"20110","2021_00-0036913","WR","receiver"
"20111","2021_00-0033367","WR","receiver"
"20112","2021_00-0032707","WR","receiver"
"20113","2021_00-0034442","WR","receiver"
"20114","2021_00-0035535","WR","receiver"
"20115","2021_00-0035602","WR","receiver"
"20116","2021_00-0035359","WR","receiver"
"20117","2021_00-0034860","WR","receiver"
"20118","2021_00-0032385","WR","receiver"
"20119","2021_00-0033460","WR","receiver"
"20120","2021_00-0033932","WR","receiver"
"20121","2021_00-0036254","WR","receiver"
"20122","2021_00-0034433","FB","rusher"
"20123","2021_00-0034401","QB","passer"
"20124","2021_00-0026158","QB","passer"
"20125","2021_00-0037013","QB","passer"
"20126","2021_00-0035537","RB","rusher"
"20127","2021_00-0036924","RB","rusher"
"20128","2021_00-0036269","RB","rusher"
"20129","2021_00-0035187","RB","rusher"
"20130","2021_00-0032058","RB","rusher"
"20131","2021_00-0035102","TE","receiver"
"20132","2021_00-0032599","TE","receiver"
"20133","2021_00-0032214","TE","receiver"
"20134","2021_00-0035259","TE","receiver"
"20135","2021_00-0032098","TE","receiver"
"20136","2021_00-0030108","TE","receiver"
"20137","2021_00-0036510","TE","receiver"
"20138","2021_00-0033871","WR","receiver"
"20139","2021_00-0031941","WR","receiver"
"20140","2021_00-0033681","WR","receiver"
"20141","2021_00-0034419","WR","receiver"
"20142","2021_00-0035045","WR","receiver"
"20143","2021_00-0035510","WR","receiver"
"20144","2021_00-0036255","WR","receiver"
"20145","2021_00-0033957","WR","receiver"
"20146","2021_00-0036980","WR","receiver"
"20147","2021_00-0036145","WR","receiver"
"20148","2021_00-0036491","WR","receiver"
"20149","2021_00-0036389","QB","passer"
"20150","2021_00-0036052","QB","passer"
"20151","2021_00-0035289","QB","passer"
"20152","2021_00-0032780","RB","rusher"
"20153","2021_00-0036919","RB","rusher"
"20154","2021_00-0035243","RB","rusher"
"20155","2021_00-0034414","RB","rusher"
"20156","2021_00-0036278","RB","rusher"
"20157","2021_00-0036741","TE","receiver"
"20158","2021_00-0035356","TE","receiver"
"20159","2021_00-0033627","TE","receiver"
"20160","2021_00-0034351","TE","receiver"
"20161","2021_00-0036005","TE","receiver"
"20162","2021_00-0031384","TE","receiver"
"20163","2021_00-0033733","WR","receiver"
"20164","2021_00-0036387","WR","receiver"
"20165","2021_00-0036271","WR","receiver"
"20166","2021_00-0034406","WR","receiver"
"20167","2021_00-0035246","WR","receiver"
"20168","2021_00-0036398","WR","receiver"
"20169","2021_00-0036912","WR","receiver"
"20170","2021_00-0032897","FB","rusher"
"20171","2021_00-0033949","QB","passer"
"20172","2021_00-0022924","QB","passer"
"20173","2021_00-0034771","QB","passer"
"20174","2021_00-0035232","QB","passer"
"20175","2021_00-0036336","RB","rusher"
"20176","2021_00-0035217","RB","rusher"
"20177","2021_00-0033838","RB","rusher"
"20178","2021_00-0034799","RB","rusher"
"20179","2021_00-0036893","RB","rusher"
"20180","2021_00-0035671","TE","receiver"
"20181","2021_00-0031387","TE","receiver"
"20182","2021_00-0036894","TE","receiver"
"20183","2021_00-0034193","TE","receiver"
"20184","2021_00-0035222","TE","receiver"
"20185","2021_00-0035058","TE","receiver"
"20186","2021_00-0036326","WR","receiver"
"20187","2021_00-0035216","WR","receiver"
"20188","2021_00-0036541","WR","receiver"
"20189","2021_00-0034676","WR","receiver"
"20190","2021_00-0035891","WR","receiver"
"20191","2021_00-0034928","WR","receiver"
"20192","2021_00-0034407","WR","receiver"
"20193","2021_00-0034353","WR","receiver"
"20194","2021_00-0033857","WR","receiver"
"20195","2021_00-0036495","WR","receiver"
"20196","2021_00-0028292","FB","rusher"
"20197","2021_00-0030565","QB","passer"
"20198","2021_00-0036226","QB","passer"
"20199","2021_00-0029263","QB","passer"
"20200","2021_00-0034750","RB","rusher"
"20201","2021_00-0032426","RB","rusher"
"20202","2021_00-0035148","RB","rusher"
"20203","2021_00-0025394","RB","rusher"
"20204","2021_00-0036425","RB","rusher"
"20205","2021_00-0036799","RB","rusher"
"20206","2021_00-0035594","RB","rusher"
"20207","2021_00-0033594","RB","rusher"
"20208","2021_00-0033895","TE","receiver"
"20209","2021_00-0036059","TE","receiver"
"20210","2021_00-0036244","TE","receiver"
"20211","2021_00-0034159","TE","receiver"
"20212","2021_00-0032211","WR","receiver"
"20213","2021_00-0035597","WR","receiver"
"20214","2021_00-0035987","WR","receiver"
"20215","2021_00-0035838","WR","receiver"
"20216","2021_00-0036247","WR","receiver"
"20217","2021_00-0035022","WR","receiver"
"20218","2021_00-0035640","WR","receiver"
"20219","2021_00-0035164","WR","receiver"
"20220","2021_00-0036620","WR","receiver"
"20221","2021_00-0036810","WR","receiver"
"20222","2021_00-0035807","FB","rusher"
"20223","2021_00-0029892","FB","rusher"
"20224","2021_00-0032792","QB","passer"
"20225","2021_00-0031345","QB","passer"
"20226","2021_00-0037012","QB","passer"
"20227","2021_NA","RB","rusher"
"20228","2021_00-0036567","RB","rusher"
"20229","2021_00-0034115","RB","rusher"
"20230","2021_00-0034164","RB","rusher"
"20231","2021_00-0033567","RB","rusher"
"20232","2021_00-0031687","RB","rusher"
"20233","2021_00-0036984","RB","rusher"
"20234","2021_00-0035806","RB","rusher"
"20235","2021_00-0034073","TE","receiver"
"20236","2021_00-0031299","TE","receiver"
"20237","2021_00-0036429","TE","receiver"
"20238","2021_00-0034613","TE","receiver"
"20239","2021_00-0033288","TE","receiver"
"20240","2021_00-0036804","WR","receiver"
"20241","2021_00-0035287","WR","receiver"
"20242","2021_00-0029632","WR","receiver"
"20243","2021_00-0035719","WR","receiver"
"20244","2021_00-0036259","WR","receiver"
"20245","2021_00-0029269","WR","receiver"
"20246","2021_00-0035869","WR","receiver"
"20247","2021_00-0034286","WR","receiver"
"20248","2021_00-0036261","WR","receiver"
"20249","2021_00-0034487","WR","receiver"
"20250","2021_00-0029857","QB","passer"
"20251","2021_00-0027948","QB","passer"
"20252","2021_00-0019596","QB","passer"
"20253","2021_00-0036928","QB","passer"
"20254","2021_00-0034816","RB","rusher"
"20255","2021_00-0036450","RB","rusher"
"20256","2021_00-0030456","RB","rusher"
"20257","2021_00-0033856","RB","rusher"
"20258","2021_00-0030465","RB","rusher"
